jobID,positionsAvailable
03be3087-58b5-42c3-977e-1fe7baaaf348,2
1bcb62ff-147e-433c-a681-eb1e6bf3fdfc,1
21491ac5-9fe1-4e4a-b0ad-a7f04b741dc2,1
22b8c327-2bf5-426e-ae34-99001818256a,1
24631976-608d-440c-a55b-1e25a2f928e7,1
2a660574-5dac-4bc8-aa1a-87dbc6cb997b,2
33eb309a-dbf4-4278-aa2b-e626036306db,2
39e78ad9-43f6-4000-9527-2f96dbc21100,1
5ddaaf93-72ae-4561-a639-b55fc860aba7,2
68fb3342-794b-4100-a270-5cb6612f999d,2
6aa524e0-25c1-42f4-8fef-2511780ed71f,2
6ca90488-cb3d-4816-a7fe-dfa8c1ccce31,2
8b65daee-8b6f-4e9f-b00d-595499aa2592,2
98d26892-5e18-4987-9aa1-d4181741cbed,1
af1c87b0-4971-4f50-8265-7db76efb1843,2
b0beebcd-9f70-40c2-bffa-cf9816b0c362,2
b3ad1b80-75a9-4aaa-8159-d947175d3394,2
c148a802-5ed2-4fdb-bc8f-632984e4f069,2
e0cc0bbf-f4b2-4200-bf14-ad54f3c0c301,2
e63e56dc-e48e-4d1f-9a87-5a12e7b9a07d,2
f0b54bfd-33a9-4394-a271-4c335fa670f3,2
f788872b-52c5-4f2c-b6a3-dbfaed0ef039,1
